0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1345,Diego Eduardo Bonoris,Argentina,Male,M40-44,16,9:21:45,94,57:07,156,5:00:56,137,3:15:44,131,Finisher
1064,Nicolas Gonzalez,Argentina,Male,M40-44,17,9:22:01,95,57:02,153,4:59:56,123,3:16:27,137,Finisher
1145,Marcos Geber Andreazza,Brazil,Male,M40-44,18,9:22:04,96,56:40,141,5:00:34,132,3:18:46,160,Finisher
1541,Javier Peiretti,Argentina,Male,M45-49,10,9:22:05,97,53:25,64,5:13:04,291,3:09:57,81,Finisher
136,João Gabriel De Carvalho Reis,Brazil,Male,M30-34,12,9:22:08,98,59:03,240,5:09:35,239,3:05:32,50,Finisher
241,Pablo Fayolle,Argentina,Male,M30-34,13,9:22:18,99,55:44,115,5:05:05,191,3:14:27,120,Finisher
685,Sebastian Ostertag,Argentina,Male,M35-39,24,9:22:19,100,57:13,159,4:52:34,53,3:26:23,232,Finisher
1290,Marcelo Salvador,Brazil,Male,M40-44,19,9:22:34,101,1:02:05,432,4:58:19,109,3:15:18,128,Finisher
1824,Flavio da Miranda,Brazil,Male,M50-54,2,9:22:38,102,1:00:18,316,4:56:07,85,3:16:54,140,Finisher
274,Andre Sanches,Brazil,Male,M30-34,14,9:22:43,103,56:40,142,4:52:49,56,3:26:46,234,Finisher
1410,Wagner Romao,Brazil,Male,M40-44,20,9:22:45,104,55:38,110,5:05:52,199,3:14:15,115,Finisher
155,Mateus Starck Pinto Da Fonseca,Brazil,Male,M30-34,15,9:22:48,105,56:58,150,5:14:29,316,3:03:36,45,Finisher
230,Guillermo Garcia,Argentina,Male,M30-34,16,9:23:23,106,1:00:23,321,5:03:31,165,3:14:08,112,Finisher
1088,Luis Gustavo Pinto,Brazil,Male,M40-44,21,9:24:10,107,59:32,259,4:59:34,118,3:19:01,165,Finisher
1133,Ricardo Gil Guerreiro Scavasin,Brazil,Male,M40-44,22,9:24:22,108,1:08:28,814,4:52:39,55,3:14:19,116,Finisher
1596,Pablo Berisso,Argentina,Male,M45-49,11,9:24:49,109,1:04:23,561,4:59:27,116,3:13:42,107,Finisher
1359,Ezequiel Benvenuto,Argentina,Male,M40-44,23,9:24:57,110,53:40,72,5:17:52,387,3:06:57,59,Finisher
879,Leandro Monteiro Zein Sammour Esteves,Brazil,Male,M35-39,25,9:25:04,111,46:25,12,4:58:28,110,3:34:03,328,Finisher
907,Rafael Marques,Brazil,Male,M35-39,26,9:25:08,112,1:02:54,473,4:58:06,105,3:13:41,106,Finisher
1695,José Otávio Ribeiro Cruz Filho,Brazil,Male,M45-49,12,9:25:37,113,1:02:57,478,5:03:45,170,3:11:15,92,Finisher
165,Hector Haussen,Brazil,Male,M30-34,17,9:25:48,114,58:51,233,4:51:54,48,3:28:15,251,Finisher
180,Bruno Araujo,Brazil,Male,M30-34,18,9:26:10,115,1:04:51,597,5:05:59,202,3:06:46,57,Finisher
1259,Daniel Da Gama Guimarães Ramalho,Brazil,Male,M40-44,24,9:26:39,116,51:01,29,4:56:54,92,3:31:36,293,Finisher
718,Carlos Filho,United States,Male,M35-39,27,9:27:20,117,58:58,237,4:57:11,97,3:20:18,179,Finisher
175,Thiarly Cavalcante,Brazil,Male,M30-34,19,9:27:25,118,58:39,221,5:02:41,159,3:17:39,147,Finisher
659,Altino Machado D Oliveira Neto,Brazil,Male,M35-39,28,9:27:35,119,1:02:15,437,5:06:41,208,3:07:49,65,Finisher
32,Bruna Mahn,Brazil,Female,FPRO,4,9:27:37,120,58:08,204,5:06:28,207,3:17:58,150,Finisher
1997,ROBERTO DE LEMOS,Portugal,Male,M55-59,1,9:27:45,121,59:22,250,5:01:47,147,3:20:27,180,Finisher
842,Kleber Fariz Miguel,Brazil,Male,M35-39,29,9:27:46,122,51:27,33,4:58:14,107,3:31:13,289,Finisher
925,Marcos Ruben Hernandez,Argentina,Male,M35-39,30,9:28:01,123,1:01:47,410,4:59:26,115,3:17:10,142,Finisher
669,Genesio Ferreira,Brazil,Male,M35-39,31,9:28:12,124,1:07:24,746,4:57:40,103,3:16:09,134,Finisher
